,Language,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,,
MAND.01,Mandarin,"9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm",,[These are Mandarin Sample Availabilities]
MAND.03,Mandarin,"9 am - 12 pm, 8 pm - 12 am","9 am - 12 pm, 8 pm - 12 am","9 am - 12 pm, 8 pm - 12 am","9 am - 12 pm, 8 pm - 12 am","9 am - 12 pm, 8 pm - 12 am","9 am - 12 pm, 8 pm - 12 am","9 am - 12 pm, 8 pm - 12 am",,Click this cell for more information
MAND.04,Mandarin,8 pm - 12 am,8 pm - 12 am,"9 am - 12 pm, 8 pm - 12 am","4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am",8 pm - 12 am,,
MAND.05,Mandarin,"9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am",,
MAND.06,Mandarin,"9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm","9 am - 12 pm, 12 pm - 4 pm","9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am",,
MAND.08,Mandarin,"9 am - 12 pm, 4 pm - 8 pm, 8 pm - 12 am",9 am - 12 pm,9 am - 12 pm,9 am - 12 pm,"9 am - 12 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am",,
MAND.09,Mandarin,4 pm - 8 pm,"12 pm - 4 pm, 4 pm - 8 pm",4 pm - 8 pm,,,12 pm - 4 pm,12 pm - 4 pm,,
MAND.10,Mandarin,"4 pm - 8 pm, 8 pm - 12 am","4 pm - 8 pm, 8 pm - 12 am","4 pm - 8 pm, 8 pm - 12 am","4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 4 pm - 8 pm, 8 pm - 12 am","4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am",,
MAND.11,Mandarin,"9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am",,
MAND.12,Mandarin,"9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 4 pm - 8 pm","9 am - 12 pm, 8 pm - 12 am","9 am - 12 pm, 8 pm - 12 am",,
MAND.13,Mandarin,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,,
MAND.14,Mandarin,"9 am - 12 pm, 12 pm - 4 pm","9 am - 12 pm, 12 pm - 4 pm","9 am - 12 pm, 12 pm - 4 pm","9 am - 12 pm, 12 pm - 4 pm","9 am - 12 pm, 12 pm - 4 pm",12 pm - 4 pm,12 pm - 4 pm,,
MAND.15,Mandarin,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,8 pm - 12 am,,
MAND.18,Mandarin,"9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am",,
MAND.19,Mandarin,"12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","9 am - 12 pm, 12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am","12 pm - 4 pm, 4 pm - 8 pm, 8 pm - 12 am",,
